 INFO  Accepting connections at http://localhost:3000
 HTTP  1/3/2026 9:04:23 PM ::1 GET /
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 283 ms
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/js/main.8e6543b1.js
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/css/main.8718f9f7.css
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 10 ms
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 15 ms
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/js/834.41284630.chunk.js
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/js/407.00c6738c.chunk.js
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/css/580.ea0d4b47.chunk.css
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/js/580.bd0f07da.chunk.js
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 8 ms
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 7 ms
 HTTP  1/3/2026 9:04:23 PM ::1 GET /static/media/c2o.406ff1563efb19b68e8b.png
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 6 ms
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 9 ms
 HTTP  1/3/2026 9:04:23 PM ::1 Returned 200 in 6 ms
 HTTP  1/3/2026 9:04:24 PM ::1 GET /static/media/bglanding.1d215f51539beac89b7a.png
 HTTP  1/3/2026 9:04:24 PM ::1 Returned 200 in 10 ms
 HTTP  1/3/2026 9:04:25 PM ::1 GET /static/js/183.f1cf56bb.chunk.js
 HTTP  1/3/2026 9:04:25 PM ::1 GET /static/js/199.88cd1458.chunk.js
 HTTP  1/3/2026 9:04:25 PM ::1 Returned 200 in 3 ms
 HTTP  1/3/2026 9:04:25 PM ::1 Returned 200 in 4 ms
